Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Mobile cellular subscriptions,IT.CEL.SETS,Peru,PER,29115149,32461415,29388077,29793297,31880043,34235810,36933161,38915386,42154771,39844613,39358383
Mobile cellular subscriptions,IT.CEL.SETS,Bolivia,BOL,7179293,8353273,9493207,10425704,10450341,10162829,10106216,10963224,11445830,11688830,11804343
Fixed telephone subscriptions,IT.MLT.MAIN,Algeria,DZA,2922731,3059336,3289363,3132829,3098787,3267592,3404709,4100982,4200919,4635661,4785763
Fixed telephone subscriptions,IT.MLT.MAIN,Morocco,MAR,3749364,3566076,3279054,2924861,2487738,2222370,2070173,2046390,2199140,2054545,2357286
Fixed telephone subscriptions,IT.MLT.MAIN,Kenya,KEN,380748,283546,251567,204354,179990,85496,72801,69861,65644,70394,66646
Fixed telephone subscriptions,IT.MLT.MAIN,Ghana,GHA,277897,284721,284981,270422,260407,275570,251490,301551,278379,288531,307668
Fixed telephone subscriptions,IT.MLT.MAIN,Tanzania,TZA,174511,161063,176367,164999,151274,142819,129597,127094,124238,76288,72469
Fixed telephone subscriptions,IT.MLT.MAIN,Peru,PER,3159884,3250444,3415478,3205894,3032556,2911495,3074464,3082036,2888595,2466512,2208884
Fixed telephone subscriptions,IT.MLT.MAIN,Bolivia,BOL,851203,878483,880371,874381,876111,881235,867346,851110,711961,652272,598082
Fixed broadband subscriptions,IT.NET.BBND,Algeria,DZA,900000,980752,1154748,1280000,1599692,2269348,2859567,3210267,3067022,3582739,3790459
Fixed broadband subscriptions,IT.NET.BBND,Morocco,MAR,504499,595207,689541,843940,993451,1147533,1255428,1378867,1552599,1751341,2102434
Fixed broadband subscriptions,IT.NET.BBND,Kenya,KEN,6866,54144,54348,74144,101813,135107,132702,288303,371498,491183,674191
Fixed broadband subscriptions,IT.NET.BBND,Ghana,GHA,52085,65149,68132,68795,70170,73132,86596,56810,61268,58518,78371
Fixed broadband subscriptions,IT.NET.BBND,Tanzania,TZA,7554,28268,41325,56425,84600,106000,318474,763466,861234,1039655,1135608
Fixed broadband subscriptions,IT.NET.BBND,Peru,PER,932503,1211767,1442784,1612812,1767057,1999459,2120762,2310217,2582144,2397285,2762337
Fixed broadband subscriptions,IT.NET.BBND,Bolivia,BOL,95948,73542,116708,154098,172783,180951,287589,379996,504097,746872,931918
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,161207306304.794,200013097903.17,209059081828.261,209755003250.664,213809980720.787,165979224316.667,160034212613.438,170096989042.831,174910891124.491,171760290068.157,145743722826.258
GDP (current US$),NY.GDP.MKTP.CD,Morocco,MAR,100865325482.244,110080631330.061,106937397478.353,115739288446.799,119130845829.482,110413820681.034,111572946646.535,118540574727.552,127341141871.205,128920265075.525,121347533649.793
GDP (current US$),NY.GDP.MKTP.CD,Kenya,KEN,45405615233.0693,46869473165.8905,56396704833.4676,61671440480.6895,68285796662.6532,70120446663.6256,74815143796.3978,82036511258.8324,92202979940.671,100378435824.178,100657505600.655
GDP (current US$),NY.GDP.MKTP.CD,Ghana,GHA,32197648061.1663,39336668080.559,41271708599.715,62824629066.0408,54783320576.8882,49406014245.4296,56164933479.4044,60405920071.1024,67298913752.0241,68337974418.7681,70043095503.2503
GDP (current US$),NY.GDP.MKTP.CD,Tanzania,TZA,32014247547.5146,34657141720.6759,39650522645.9811,45680532613.7591,49964825081.1078,47378603783.6471,49774004999.2038,53275968094.8533,57003686049.4102,61026765850.3054,66068737757.2651
GDP (current US$),NY.GDP.MKTP.CD,Peru,PER,147527631520.729,171761737046.585,192649991136.09,201175541637.441,200786240836.818,189802961890.097,191898127860.843,211007952315.888,222597030191.041,228325852220.761,201947603715.409
